Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
Q5FAM9	BAC0001	abeM	Chromosome	Acinetobacter baumanni	"4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Triclosan [class: Phenolic compounds], Acriflavine [class: Acridine], Hoechst 33342 [class: Bisbenzimide], Rhodamine 6G [class: Xanthene], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]"	"H-coupled multidrug efflux pump. Confers resistance to Antibiotics such as quinolones and  aminoglycosides and antibacterial biocides such as dyes, QACs. "
Q2FD83	BAC0002	abeS	Chromosome	Acinetobacter baumannii	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Chlorhexidine [class: Biguanides], Pyronin Y [class: Xanthene], Rhodamine 6G [class: Xanthene], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Crystal Violet [class: Triarylmethane], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Cetylpyridinium Chloride (CPC) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)]"	"Disinfectant resistance protein abeS. It can confer resistance to antibiotics such as erythromycin, novomycin, amikacin, ciprofloxacin, norfloxacin, tetracycline, trimethoporin and dyes, QACs etc. "
B0VDE7	BAC0758	abuO	Chromosome	Acinetobacter baumannii	"Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], "	Channel-tunnel spanning the outer membrane and periplasm segregation of daughter chromosomes
O53166	BAC0003	acn	Chromosome	Mycobacterium tuberculosis H37Rv	Iron (Fe)	"Aconitate hydratase, Acn"
B5LX01	BAC0004	acr3	Chromosome	Campylobacter jejuni	Arsenic (As)	"Arsenical-resistance membrane transporter; part of the an arsenic (ars) four-gene operon, containing genes encoding a putative membrane permease (ArsP), a transcriptional repressor (ArsR), an arsenate reductase (ArsC) and an arsenical-resistance membrane transporter (Acr3)"
P0AE06	BAC0005	acrA	Chromosome	Escherichia coli (strain K12)	"Acriflavine [class: Acridine], Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], p-xylene [class: Aromatic hydrocarbons], Cyclohexane [class: Cycloalkane], Pentane [class: Alkane]"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.  It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
P31224	BAC0006	acrB	Chromosome	Escherichia coli (strain K12)	"Acriflavine [class: Acridine], Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], p-xylene [class: Aromatic hydrocarbons], Cyclohexane [class: Cycloalkane], Pentane [class: Alkane]"	"AcrAB is a drug efflux protein with a broad substrate specificity. It can confer resistant to ampicillin, chloramphenicol as well.It requires TolC outer memberane protein to function and form the AcrAB-TolC efflux operon. AcrAB-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates."
Q1LMP2	BAC0007	acrC	Chromosome	Escherichia coli (strain K12)	Acriflavine [class: Acridine]	Cation/multidrug efflux system outer membrane porin arcC.
Q8ZN77	BAC0563	acrD	Chromosome	Salmonella enterica serovar Typhimurium	"Copper (Cu), Zinc (Zn)"	Acriflavine resistance protein D; participates in the efflux of aminoglycosides. It confers resistance to a variety of these substances. It contributes to copper and zinc resistance in Salmonella.
P24177	BAC0008	acrD/yffA	Chromosome	Escherichia coli (strain K12)	"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid]"	Acriflavine resistance protein D; participates in the efflux of aminoglycosides. It confers resistance to a variety of these substances.
P24180	BAC0009	acrE/envC	Chromosome	Escherichia coli (strain K12)	"Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine]"	"Acriflavine resistance protein E; May affect specific membrane functions, such as septum formation during cell division, and cell membrane permeability. It can confer resistance to novomycin."
P24181	BAC0010	acrF/envD	Chromosome	Escherichia coli (strain K12)	"Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine]"	Acriflavine resistance protein F; Involved in cell envelope formation. It is produced in extremely low amounts.
P0ACS9	BAC0011	acrR/ybaH	Chromosome	Escherichia coli (strain K12)	Acriflavine [class: Acridine]	HTH-type potential regulator protein for the acrAB genes.
Q52910	BAC0567	actA	Chromosome	Rhizobium meliloti TG2-6	"Copper (Cu), Zinc (Zn), Hydrochloric acid (HCl) [class: Acid]"	Apolipoprotein N-acyltransferase. Transfers the fatty acyl group on membrane lipoproteins. It  has an essential role in acid tolerance of Rhizobium meliloti.
